,Adults SCL,Adults SCL,Adults SCL,Adults SCL,Adults OK,Adults OK,Adults OK,Adults OK,Adults NW,Adults NW,Adults NW,Adults NW,Children SCL,Children SCL,Children SCL,Children SCL,Children OK,Children OK,Children OK,Children OK,Children NW,Children NW,Children NW,Children NW
Protein Grouping Ambiguity,L06,L28,L11,L35,L26,L15,L20,L21,L36,L07,L24,L31,L48,L42,L25,L47,L22,L44,L16,L17,L12,L18,L23,L32
,10,7,12,11,8,2,8,5,10,8,6,14,7,11,8,8,8,7,7,6,6,7,8,8
TRUE,3,2.5,6.5,6,6,0,7.5,4,7.5,0,3.5,7.5,10,9.5,0,2.5,2.5,2,0,0,0,3.5,5,0
TRUE,4.3265,0,0,8.049,0,0,0,4.2604,0,2.8623,0,0,6.5303,0,2.4642,0,0,2.4642,2.1302,0,0,0,3.1963,0
TRUE,3,0,6.5,6,6,0,6.5,4,7.5,0,3.5,7.5,11,10.5,0,0,0,0,0,0,0,3.5,5,1.5
TRUE,9.4557,2,13.456,15.217,10.934,1.8267,16.175,13.456,7.6949,3,3.9341,7.9341,6,10.934,2,3,7.4142,3.8682,3.8267,6.5875,2,3.9341,5.8682,2
TRUE,0,0,0,0,0,0,2.9833,2.6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,6.8203,2.6406,9.6406,15.461,8.6406,0,8.6039,6.7836,11,1.8203,5.8203,4.8203,6.6406,13.641,3.8203,4.8203,5.8203,5.8203,2.8203,3.8203,1,5,5.8203,2.8203
TRUE,7.9955,1,18.998,15.991,3,0,14.993,9.9977,10.995,1,3,11.993,12.995,17.991,1,1.9977,2.9977,2,0,2.9977,0,3,7.9977,1
,6,10,5,3,16,0,6,6,7,3,5,8,2,2,10,9,6,7,10,11,9,3,8,11
TRUE,2.3128,1,26.478,47.912,4.3142,0,12.729,2.3111,3.3128,1.1556,0,15.953,9.1101,18.167,0,0,1.1556,0,0,0,0,3.3128,3.3128,0
TRUE,9.7934,1.9046,13.71,15.642,11.726,0,10.743,11.811,9.8212,2.9324,4.8768,11.766,8.7536,11.754,2.9324,3.8768,6.849,5.8768,0,3.9046,1,5.8768,10.821,2.9324
TRUE,0,6.5,5,2.5,7,0,0,4.5,0,6,0,4,0,0,3,0,3,3,3,4,4,0,0,0
TRUE,4.6472,0,11.95,8.6306,0,0,10.631,4.6472,0,2.6556,0,9.9583,11.286,9.9583,0,1.9917,11.286,0,0,0,0,5.975,3.3194,0
TRUE,0,0,6.05,4.3694,0,0,5.3694,0,0,0,0,0,0,0,0,0,5.7139,0,0,0,0,0,0,0
TRUE,0,5.5,0,0,10.5,0,0,4.5,0,6,0,3,0,0,3,0,3,3,3,4,4,0,0,0
TRUE,6.8568,2.9284,11.809,8.8568,13.738,1,10.809,7.8568,11.809,5.8807,5.9045,11.809,7.8568,9.833,5.9045,6.8807,5.8807,4.9045,2.9284,5.9045,1.9523,5.8807,6.8807,4.9045
TRUE,4.0384,2.5192,12.558,14.038,5.0384,0,11.558,10.558,7.0384,2.5192,1.5192,12.038,13.558,11.558,1.5192,4.0384,10.558,2.5192,0,0,0,9.0384,7.0384,0
TRUE,6.6545,2.8848,10.309,9.4242,14.733,0,12.194,8.4242,10.194,2.7697,3.7697,9.309,10.194,9.1938,2.6545,3.6545,4.7697,4.6545,1.7697,3.7697,0,3.7697,8.309,1.8848
