Date,Open,High,Low,Close,Adj Close,Volume
1963-03-22,5.483333,5.530000,5.480000,5.523333,1.347029,427500
1963-03-25,5.523333,5.540000,5.513333,5.513333,1.344589,480000
1963-03-26,5.520000,5.573333,5.520000,5.550000,1.353532,810000
1963-03-27,5.570000,5.613333,5.570000,5.613333,1.368977,847500
1963-03-28,5.613333,5.643333,5.600000,5.610000,1.368165,825000
1963-03-29,5.610000,5.630000,5.600000,5.613333,1.368977,480000
1963-04-01,5.613333,5.623333,5.603333,5.613333,1.368977,682500
1963-04-02,5.613333,5.630000,5.566667,5.566667,1.357597,562500
1963-04-03,5.573333,5.636667,5.573333,5.630000,1.373043,517500
1963-04-04,5.666667,5.731667,5.666667,5.718333,1.394585,1297500
1963-04-05,5.730000,5.893333,5.730000,5.893333,1.437263,1597500
1963-04-08,5.930000,6.010000,5.930000,5.995000,1.462058,1590000
1963-04-09,5.995000,6.006667,5.906667,5.930000,1.446207,1237500
1963-04-10,5.930000,5.943333,5.826667,5.898333,1.438483,930000
1963-04-11,5.898333,5.993333,5.870000,5.950000,1.451084,1282500
1963-04-15,5.950000,5.986667,5.906667,5.946667,1.450271,832500
1963-04-16,5.946667,5.963333,5.903333,5.903333,1.439703,652500
1963-04-17,5.903333,5.916667,5.860000,5.873333,1.432386,480000
1963-04-18,5.873333,5.920000,5.873333,5.873333,1.432386,292500
1963-04-19,5.906667,6.000000,5.906667,6.000000,1.463278,765000
1963-04-22,6.040000,6.123333,6.040000,6.093333,1.486040,1132500
1963-04-23,6.093333,6.146667,6.073333,6.146667,1.499048,840000
1963-04-24,6.156667,6.220000,6.156667,6.166667,1.503924,855000
1963-04-25,6.166667,6.200000,6.133333,6.195000,1.510834,697500
1963-04-26,6.195000,6.266667,6.166667,6.266667,1.528314,637500
1963-04-29,6.266667,6.326667,6.220000,6.246667,1.523435,525000
1963-04-30,6.246667,6.280000,6.160000,6.183333,1.507989,870000
1963-05-01,6.183333,6.246667,6.163333,6.200000,1.512054,600000
1963-05-02,6.203333,6.256667,6.203333,6.250000,1.524247,367500
1963-05-03,6.250000,6.251667,6.206667,6.206667,1.513679,307500
1963-05-06,6.196667,6.196667,6.110000,6.110000,1.490105,592500
1963-05-07,6.110000,6.163333,6.100000,6.137083,1.497036,540000
1963-05-08,6.150000,6.266667,6.150000,6.266667,1.528647,742500
1963-05-09,6.266667,6.340000,6.266667,6.273333,1.530271,1125000
1963-05-10,6.273333,6.333333,6.236667,6.333333,1.544907,472500
1963-05-13,6.330000,6.330000,6.270000,6.283333,1.532712,382500
1963-05-14,6.283333,6.300000,6.253333,6.273333,1.530271,450000
1963-05-15,6.273333,6.310000,6.273333,6.293333,1.535151,525000
1963-05-16,6.293333,6.320000,6.253333,6.266667,1.528647,450000
1963-05-17,6.266667,6.326667,6.216667,6.226667,1.518888,457500
1963-05-20,6.226667,6.246667,6.170000,6.170000,1.505065,435000
1963-05-21,6.170000,6.226667,6.160000,6.226667,1.518888,517500
1963-05-22,6.226667,6.320000,6.206667,6.213333,1.515636,337500
1963-05-23,6.213333,6.240000,6.193333,6.193333,1.510757,330000
1963-05-24,6.193333,6.230000,6.160000,6.173333,1.505878,292500
1963-05-27,6.166667,6.166667,6.106667,6.106667,1.489615,457500
1963-05-28,6.130000,6.183333,6.130000,6.133333,1.496121,450000
1963-05-29,6.173333,6.266667,6.173333,6.266667,1.528647,555000
1963-05-31,6.293333,6.380000,6.293333,6.363333,1.552225,1072500
1963-06-03,6.363333,6.383333,6.310000,6.310000,1.539215,847500
1963-06-04,6.310000,6.363333,6.293333,6.320000,1.541656,585000
1963-06-05,6.320000,6.346667,6.260000,6.266667,1.528647,495000
1963-06-06,6.266667,6.293333,6.240000,6.266667,1.528647,292500
1963-06-07,6.266667,6.273333,6.236667,6.243333,1.522953,360000
1963-06-10,6.243333,6.243333,6.160000,6.163333,1.503440,660000
1963-06-11,6.173333,6.236667,6.173333,6.200000,1.512384,277500
1963-06-12,6.200000,6.260000,6.173333,6.243333,1.522953,555000
1963-06-13,6.243333,6.320000,6.160000,6.180000,1.507505,450000
1963-06-14,6.180000,6.210000,6.160000,6.176667,1.506692,337500
1963-06-17,6.176667,6.180000,6.113333,6.123333,1.493681,427500
1963-06-18,6.123333,6.180000,6.113333,6.113333,1.491243,532500
1963-06-19,6.113333,6.130000,6.086667,6.093333,1.486364,652500
1963-06-20,6.093333,6.093333,6.003333,6.063333,1.479046,1185000
1963-06-21,6.066667,6.090000,6.066667,6.073333,1.481485,547500
1963-06-24,6.073333,6.096667,5.986667,5.986667,1.460344,780000
1963-06-25,5.986667,6.060000,5.946667,5.956667,1.453027,675000
1963-06-26,5.956667,5.960000,5.850000,5.850000,1.427007,1245000
1963-06-27,5.850000,5.896667,5.760000,5.790000,1.412371,1365000
1963-06-28,5.806667,5.843333,5.806667,5.816667,1.418877,652500
1963-07-01,5.816667,5.816667,5.680000,5.686667,1.387164,1492500
1963-07-02,5.713333,5.846667,5.713333,5.846667,1.426194,1170000
1963-07-03,5.856667,5.906667,5.856667,5.890000,1.436765,1027500
1963-07-05,5.896667,5.933333,5.896667,5.933333,1.447334,450000
1963-07-08,5.920000,5.920000,5.806667,5.813333,1.418063,600000
1963-07-09,5.813333,5.910000,5.790000,5.878333,1.433918,652500
1963-07-10,5.866667,5.866667,5.803333,5.826667,1.421315,645000
1963-07-11,5.826667,5.866667,5.786667,5.786667,1.411557,615000
1963-07-12,5.786667,5.820000,5.753333,5.753333,1.403426,570000
1963-07-15,5.753333,5.786667,5.721667,5.766667,1.406679,810000
1963-07-16,5.766667,5.810000,5.763333,5.803333,1.415624,795000
1963-07-17,5.803333,5.860000,5.756667,5.773333,1.408305,810000
1963-07-18,5.773333,5.796667,5.726667,5.726667,1.396921,907500
1963-07-19,5.726667,5.740000,5.706667,5.723333,1.396109,712500
1963-07-22,5.723333,5.740000,5.686667,5.706667,1.392044,600000
1963-07-23,5.706667,5.766667,5.690000,5.690000,1.387977,840000
1963-07-24,5.690000,5.746667,5.670000,5.713333,1.393670,630000
1963-07-25,5.713333,5.760000,5.713333,5.720000,1.395296,547500
1963-07-26,5.720000,5.760000,5.720000,5.753333,1.403426,390000
1963-07-29,5.760000,5.780000,5.760000,5.773333,1.408305,330000
1963-07-30,5.803333,5.906667,5.803333,5.906667,1.440829,1087500
1963-07-31,5.906667,5.973333,5.793333,5.793333,1.413185,1140000
1963-08-01,5.793333,5.830000,5.733333,5.800000,1.414810,982500
1963-08-02,5.800000,5.826667,5.760000,5.760000,1.405052,360000
